run_id,experiment,model,baseline_c0,baseline_N0,baseline_gamma,baseline_rho_minus_b,baseline_g0,baseline_m0,target_v,g_ai_for_sweep,m_ai,g_ai,delta_star
20251111_102052,dynamic_model_mortality_sweep,DynamicAIGrowthRiskModel,1.0,1.0,2.0,0.01,0.02,0.01,6.0,0.3,0.0,0.3,0.5335648148148149
20251111_102052,dynamic_model_mortality_sweep,DynamicAIGrowthRiskModel,1.0,1.0,2.0,0.01,0.02,0.01,6.0,0.3,0.0025,0.3,0.41630747126436773
20251111_102052,dynamic_model_mortality_sweep,DynamicAIGrowthRiskModel,1.0,1.0,2.0,0.01,0.02,0.01,6.0,0.3,0.005,0.3,0.29880136986301375
20251111_102052,dynamic_model_mortality_sweep,DynamicAIGrowthRiskModel,1.0,1.0,2.0,0.01,0.02,0.01,6.0,0.3,0.0075,0.3,0.1810515873015871
20251111_102052,dynamic_model_mortality_sweep,DynamicAIGrowthRiskModel,1.0,1.0,2.0,0.01,0.02,0.01,6.0,0.3,0.01,0.3,0.06306306306306309
20251111_102052,dynamic_model_mortality_sweep,DynamicAIGrowthRiskModel,1.0,1.0,2.0,0.01,0.02,0.01,6.0,0.3,0.015,0.3,-0.17361111111111116
20251111_102052,dynamic_model_mortality_sweep,DynamicAIGrowthRiskModel,1.0,1.0,2.0,0.01,0.02,0.01,6.0,0.3,0.02,0.3,-0.4111842105263157
20251111_102052,dynamic_model_mortality_sweep,DynamicAIGrowthRiskModel,1.0,1.0,2.0,0.01,0.02,0.01,6.0,0.3,0.03,0.3,-0.8888888888888888
20251111_102052,dynamic_model_mortality_sweep,DynamicAIGrowthRiskModel,1.0,1.0,2.0,0.01,0.02,0.01,6.0,0.3,0.04,0.3,-1.3697916666666665
20251111_102052,dynamic_model_mortality_sweep,DynamicAIGrowthRiskModel,1.0,1.0,2.0,0.01,0.02,0.01,6.0,0.3,0.05,0.3,-1.8536585365853657
